(0)Date, (1)Time, (2)Framenumber, (3)accX1, (4)accY1, (5)accZ1, (6)gyrX1, (7)gyrY1, (8)gyrZ1, (9)accX2, (10)accY2, (11)accZ2, (12)gyrX2, (13)gyrY2, (14)gyrZ2, (15)accX3, (16)accY3, (17)accZ3, (18)gyrX3, (19)gyrY3, (20)gyrZ3, (21)accX4, (22)accY4, (23)accZ4, (24)gyrX4, (25)gyrY4, (26)gyrZ4, (27)accX5, (28)accY5, (29)accZ5, (30)gyrX5, (31)gyrY5, (32)gyrZ5
1980-01-06,00:00:29,28,-0.7182605266571045, 9.552865028381348, -0.33518823981285095, -0.047890130430459976, -0.004256900865584612, -0.02447717823088169, -0.7038952708244324, 9.567230224609375, -0.3256114423274994, -0.058532387018203735, -0.004256900865584612, -0.01915605366230011, -0.7086837291717529, 9.5624418258667, -0.31603461503982544, -0.05001858249306679, -0.004256900865584612, -0.023412954062223434, -0.7182605266571045, 9.543288230895996, -0.35434186458587646, -0.051082808524370193, -0.004256900865584612, -0.02234872803092003, -0.6943184733390808, 9.5624418258667, -0.31603461503982544, -0.05001858249306679, -0.004256900865584612, -0.02447717823088169
1980-01-06,00:00:30,29,-0.7038952708244324, 9.567230224609375, -0.33997663855552673, -0.04895435646176338, -0.003192675532773137, -0.02447717823088169, -0.6751648783683777, 9.557653427124023, -0.3064578175544739, -0.06491773575544357, -0.005321125965565443, -0.01489915233105421, -0.6991068720817566, 9.581595420837402, -0.31603461503982544, -0.03937632963061333, -0.003192675532773137, -0.02766985446214676, -0.7182605266571045, 9.548076629638672, -0.33039984107017517, -0.04682590812444687, -0.003192675532773137, -0.025541404262185097, -0.6991068720817566, 9.567230224609375, -0.33997663855552673, -0.07343153655529022, -0.005321125965565443, -0.011706477031111717
1980-01-06,00:00:31,30,-0.6847416758537292, 9.581595420837402, -0.3256114423274994, -0.03511942923069, -0.002128450432792306, -0.030862528830766678, -0.6799532771110535, 9.57201862335205, -0.2777273952960968, -0.06278928369283676, -0.005321125965565443, -0.015963377431035042, -0.7086837291717529, 9.567230224609375, -0.31124621629714966, -0.051082808524370193, -0.004256900865584612, -0.021284503862261772, -0.6991068720817566, 9.567230224609375, -0.33997663855552673, -0.05746815726161003, -0.004256900865584612, -0.01915605366230011, -0.6751648783683777, 9.576807022094727, -0.3208230137825012, -0.042569007724523544, -0.003192675532773137, -0.02766985446214676
1980-01-06,00:00:32,31,-0.7038952708244324, 9.5624418258667, -0.35434186458587646, -0.058532387018203735, -0.004256900865584612, -0.01915605366230011, -0.6943184733390808, 9.567230224609375, -0.3016694188117981, -0.05321125686168671, -0.004256900865584612, -0.021284503862261772, -0.7038952708244324, 9.5624418258667, -0.3447650372982025, -0.05427548289299011, -0.004256900865584612, -0.021284503862261772, -0.7182605266571045, 9.557653427124023, -0.33518823981285095, -0.05321125686168671, -0.004256900865584612, -0.02234872803092003, -0.7086837291717529, 9.552865028381348, -0.33039984107017517, -0.05533970892429352, -0.004256900865584612, -0.021284503862261772
1980-01-06,00:00:33,32,-0.7086837291717529, 9.5624418258667, -0.35434186458587646, -0.05001858249306679, -0.004256900865584612, -0.023412954062223434, -0.7134721279144287, 9.557653427124023, -0.3256114423274994, -0.0521470308303833, -0.004256900865584612, -0.02234872803092003, -0.7038952708244324, 9.5624418258667, -0.33518823981285095, -0.05427548289299011, -0.004256900865584612, -0.021284503862261772, -0.7086837291717529, 9.552865028381348, -0.33039984107017517, -0.0521470308303833, -0.004256900865584612, -0.02234872803092003, -0.7038952708244324, 9.567230224609375, -0.33518823981285095, -0.05533970892429352, -0.004256900865584612, -0.020220277830958366
1980-01-06,00:00:34,33,-0.7230489253997803, 9.557653427124023, -0.33518823981285095, -0.056403931230306625, -0.005321125965565443, -0.01915605366230011, -0.7086837291717529, 9.557653427124023, -0.33039984107017517, -0.047890130430459976, -0.004256900865584612, -0.02447717823088169, -0.6991068720817566, 9.57201862335205, -0.33039984107017517, -0.05746815726161003, -0.004256900865584612, -0.01915605366230011, -0.7038952708244324, 9.567230224609375, -0.33997663855552673, -0.047890130430459976, -0.004256900865584612, -0.025541404262185097, -0.727837324142456, 9.552865028381348, -0.35434186458587646, -0.061725057661533356, -0.005321125965565443, -0.017027603462338448
1980-01-06,00:00:35,34,-0.7038952708244324, 9.5624418258667, -0.33997663855552673, -0.03618365526199341, -0.003192675532773137, -0.031926754862070084, -0.6991068720817566, 9.57201862335205, -0.33039984107017517, -0.05321125686168671, -0.004256900865584612, -0.021284503862261772, -0.7134721279144287, 9.543288230895996, -0.35913026332855225, -0.047890130430459976, -0.003192675532773137, -0.02447717823088169, -0.7182605266571045, 9.557653427124023, -0.3447650372982025, -0.0521470308303833, -0.004256900865584612, -0.02234872803092003, -0.7038952708244324, 9.557653427124023, -0.35434186458587646, -0.05321125686168671, -0.004256900865584612, -0.021284503862261772
1980-01-06,00:00:36,35,-0.6991068720817566, 9.5624418258667, -0.33039984107017517, -0.051082808524370193, -0.004256900865584612, -0.02234872803092003, -0.7038952708244324, 9.557653427124023, -0.3447650372982025, -0.05321125686168671, -0.004256900865584612, -0.02234872803092003, -0.7134721279144287, 9.557653427124023, -0.33518823981285095, -0.0521470308303833, -0.004256900865584612, -0.02234872803092003, -0.7134721279144287, 9.557653427124023, -0.33997663855552673, -0.0521470308303833, -0.004256900865584612, -0.02234872803092003, -0.7038952708244324, 9.557653427124023, -0.3495534360408783, -0.04895435646176338, -0.004256900865584612, -0.02447717823088169
1980-01-06,00:00:37,36,-0.727837324142456, 9.552865028381348, -0.363918662071228, -0.05321125686168671, -0.004256900865584612, -0.021284503862261772, -0.6991068720817566, 9.576807022094727, -0.33518823981285095, -0.0521470308303833, -0.004256900865584612, -0.02234872803092003, -0.6991068720817566, 9.567230224609375, -0.31124621629714966, -0.0521470308303833, -0.004256900865584612, -0.02234872803092003, -0.7038952708244324, 9.557653427124023, -0.3447650372982025, -0.05746815726161003, -0.004256900865584612, -0.020220277830958366, -0.7086837291717529, 9.5624418258667, -0.3495534360408783, -0.051082808524370193, -0.003192675532773137, -0.02234872803092003
1980-01-06,00:00:38,37,-0.7230489253997803, 9.552865028381348, -0.3447650372982025, -0.051082808524370193, -0.004256900865584612, -0.023412954062223434, -0.7038952708244324, 9.557653427124023, -0.3256114423274994, -0.05001858249306679, -0.004256900865584612, -0.02447717823088169, -0.7086837291717529, 9.5624418258667, -0.3495534360408783, -0.047890130430459976, -0.004256900865584612, -0.02447717823088169, -0.7134721279144287, 9.5624418258667, -0.33518823981285095, -0.06066083535552025, -0.005321125965565443, -0.017027603462338448, -0.7757213711738586, 9.567230224609375, -0.45010992884635925, -0.06066083535552025, -0.005321125965565443, -0.01915605366230011
