Date,Time,Latitude,Longitude,Altitude,Battery Voltage (V),Sats used,Wind Speed (m/s),Wind Dir (deg),Vertical Speed (m/s),Temperature(deg),Pressure (hPa),Humidity (%),Dew point (deg),variance_accX, variance_accY, variance_accZ, variance_gyrX, variance_gyrY, variance_gyrZ  
2021-01-27,10:37:10,51.022671,7.561796,313.1,2.8,10,0.1,245,-0.1,0.0,979.1,93.2,-1.0,0.003028449274388396,0.007780227056441718,0.009383318442046202,0.0,0.0005213618073463443,0.0004256904125213623
2021-01-27,10:37:11,51.022672,7.561796,313.0,2.8,10,0.1,74,-0.1,0.0,979.2,92.6,-1.1,0.0019153594970703126,0.006056898548776792,0.006495310618594741,0.0,0.0005213618073463443,0.0004256904125213623
2021-01-27,10:37:12,51.022671,7.561794,312.9,2.8,10,0.2,342,-0.2,0.0,979.2,93.5,-0.9,0.003830718994140625,0.003830718994140625,0.008881168840715775,0.0004256904125213623,0.0004256901331245899,0.0005213621495361084
2021-01-27,10:37:13,51.022671,7.561794,312.9,2.8,10,0.1,313,-0.3,0.0,979.3,93.3,-0.9,0.00558418454437604,0.003028449274388396,0.00801253432438395,0.0,0.0004256901331245899,0.0004256904125213623
2021-01-27,10:37:14,51.022672,7.561795,312.9,2.8,10,0.1,354,-0.3,0.0,979.1,93.4,-0.9,0.008881164341582922,0.004691653441816077,0.010664281590372597,0.0004256904125213623,0.0004256901331245899,0.0004256904125213623
2021-01-27,10:37:15,51.022672,7.561794,312.8,2.8,10,0.1,62,-0.2,0.0,979.4,93.2,-0.9,0.003028449274388396,0.0023458267209080386,0.0064953071033093295,0.0,0.0004256901331245899,0.0004256904125213623
2021-01-27,10:37:16,51.022672,7.561794,312.9,2.8,10,0.0,340,0.0,0.0,979.2,93.1,-1.0,0.0019153594970703126,0.00635252879042605,0.007661451399328498,0.0,0.0005213618073463443,0.0004256904125213623
2021-01-27,10:37:17,51.022672,7.561794,312.7,2.8,10,0.1,200,-0.1,0.0,979.3,93.0,-1.0,0.0035833095052703783,0.0023458267209080386,0.008881170126180742,0.0,0.0005213618073463443,0.0005213621495361084
2021-01-27,10:37:19,51.022672,7.561794,312.4,2.8,10,0.1,350,-0.1,0.0,979.2,92.3,-1.1,0.0035833095052703783,0.007166619010540756,0.008238284477692183,0.0,0.0005213618073463443,0.0005213621495361084
2021-01-27,10:37:20,51.022672,7.561794,312.4,2.8,10,0.1,200,0.0,0.0,979.1,92.7,-1.0,0.006771818443942366,0.007037480162724116,0.009285063793483846,0.0,0.0005213618073463443,0.0005213621495361084
