[0]Date,[1]Time,[2]Latitude,[3]Longitude,[4]Altitude,[5]Battery Voltage (V),[6]Sats used,[7]Wind Speed (m/s),[8]Wind Dir (deg),[9]Vertical Speed (m/s),[10]Temperature(deg),[11]Pressure (hPa),[12]Humidity (%),[13]Dew point (deg), [14]accX, [15]accY, [16]accZ, [17]gyrX, [18]gyrY, [19]gyrZ, [20]variance_accX, [21]variance_accY, [22]variance_accZ, [23]variance_gyrX,[24]variance_gyrY,[25]variance_gyrZ 
2021-01-27,10:36:43:00,51.022663,7.561802,310.2,2.8,6,0.3,76,-0.2,0.0,979.2,91.9,-1.1,-0.3495534360408783, 9.533711433410645, 0.40222588181495667, -0.051082808524370193, -0.003192675532773137, -0.02766985446214676,0.022130504111278437,0.011085944574148125,0.11454597528481514,0.040565829041911694,0.01671341878262632,0.09047040012899521,
2021-01-27,10:36:43:20,51.022663,7.561802,310.2,2.8,6,0.3,76,-0.2,0.0,979.2,91.9,-1.1, -0.3495534360408783, 9.543288230895996, 0.42616790533065796, -0.047890130430459976, -0.004256900865584612, -0.030862528830766678,0.022130504111278437,0.011085944574148125,0.11454597528481514,0.040565829041911694,0.01671341878262632,0.09047040012899521,
2021-01-27,10:36:43:40,51.022663,7.561802,310.2,2.8,6,0.3,76,-0.2,0.0,979.2,91.9,-1.1, -0.35434186458587646, 9.533711433410645, 0.3974374830722809, -0.051082808524370193, -0.003192675532773137, -0.02766985446214676,0.022130504111278437,0.011085944574148125,0.11454597528481514,0.040565829041911694,0.01671341878262632,0.09047040012899521,
2021-01-27,10:36:43:60,51.022663,7.561802,310.2,2.8,6,0.3,76,-0.2,0.0,979.2,91.9,-1.1, -0.35434186458587646, 9.528923034667969, 0.3926490843296051, -0.051082808524370193, -0.003192675532773137, -0.026605628430843353,0.022130504111278437,0.011085944574148125,0.11454597528481514,0.040565829041911694,0.01671341878262632,0.09047040012899521,
2021-01-27,10:36:43:80,51.022663,7.561802,310.2,2.8,6,0.3,76,-0.2,0.0,979.2,91.9,-1.1, -0.40701428055763245, 9.509769439697266, 0.11971008777618408, 0.051082808524370193, 0.03831210732460022, -0.25434979796409607,0.022130504111278437,0.011085944574148125,0.11454597528481514,0.040565829041911694,0.01671341878262632,0.09047040012899521,
2021-01-27,10:36:45:00,51.022662,7.561799,310.1,2.8,6,0.2,261,-0.3,0.1,979.2,92.0,-1.1,-0.35913026332855225, 9.53849983215332, 0.3926490843296051, -0.051082808524370193, -0.003192675532773137, -0.02766985446214676,0.004883237077105045,0.005245428011385801,0.006771831088000854,0.0,0.0005213618073463443,0.0005213621495361084,
2021-01-27,10:36:45:20,51.022662,7.561799,310.1,2.8,6,0.2,261,-0.3,0.1,979.2,92.0,-1.1, -0.35913026332855225, 9.533711433410645, 0.3974374830722809, -0.051082808524370193, -0.004256900865584612, -0.026605628430843353,0.004883237077105045,0.005245428011385801,0.006771831088000854,0.0,0.0005213618073463443,0.0005213621495361084,
2021-01-27,10:36:45:40,51.022662,7.561799,310.1,2.8,6,0.2,261,-0.3,0.1,979.2,92.0,-1.1, -0.363918662071228, 9.548076629638672, 0.3878606855869293, -0.051082808524370193, -0.004256900865584612, -0.026605628430843353,0.004883237077105045,0.005245428011385801,0.006771831088000854,0.0,0.0005213618073463443,0.0005213621495361084,
2021-01-27,10:36:45:60,51.022662,7.561799,310.1,2.8,6,0.2,261,-0.3,0.1,979.2,92.0,-1.1, -0.3495534360408783, 9.533711433410645, 0.37828385829925537, -0.051082808524370193, -0.003192675532773137, -0.02766985446214676,0.004883237077105045,0.005245428011385801,0.006771831088000854,0.0,0.0005213618073463443,0.0005213621495361084,
2021-01-27,10:36:45:80,51.022662,7.561799,310.1,2.8,6,0.2,261,-0.3,0.1,979.2,92.0,-1.1, -0.35434186458587646, 9.53849983215332, 0.38307225704193115, -0.051082808524370193, -0.003192675532773137, -0.02766985446214676,0.004883237077105045,0.005245428011385801,0.006771831088000854,0.0,0.0005213618073463443,0.0005213621495361084,
2021-01-27,10:36:46:00,51.022661,7.561796,309.9,2.8,6,0.4,43,-0.3,0.1,979.2,92.0,-1.1,-0.3495534360408783, 9.543288230895996, 0.3974374830722809, -0.0521470308303833, -0.003192675532773137, -0.02766985446214676,0.003028458698719025,0.00558418454437604,0.006352528790426049,0.0004256889224052429,0.0005213618073463443,0.0005213621495361084,
2021-01-27,10:36:46:20,51.022661,7.561796,309.9,2.8,6,0.4,43,-0.3,0.1,979.2,92.0,-1.1, -0.3495534360408783, 9.543288230895996, 0.40701428055763245, -0.051082808524370193, -0.003192675532773137, -0.026605628430843353,0.003028458698719025,0.00558418454437604,0.006352528790426049,0.0004256889224052429,0.0005213618073463443,0.0005213621495361084,
2021-01-27,10:36:46:40,51.022661,7.561796,309.9,2.8,6,0.4,43,-0.3,0.1,979.2,92.0,-1.1, -0.35434186458587646, 9.543288230895996, 0.3926490843296051, -0.051082808524370193, -0.004256900865584612, -0.02766985446214676,0.003028458698719025,0.00558418454437604,0.006352528790426049,0.0004256889224052429,0.0005213618073463443,0.0005213621495361084,
2021-01-27,10:36:46:60,51.022661,7.561796,309.9,2.8,6,0.4,43,-0.3,0.1,979.2,92.0,-1.1, -0.3495534360408783, 9.528923034667969, 0.3974374830722809, -0.051082808524370193, -0.004256900865584612, -0.02766985446214676,0.003028458698719025,0.00558418454437604,0.006352528790426049,0.0004256889224052429,0.0005213618073463443,0.0005213621495361084,
2021-01-27,10:36:46:80,51.022661,7.561796,309.9,2.8,6,0.4,43,-0.3,0.1,979.2,92.0,-1.1, -0.3447650372982025, 9.53849983215332, 0.3878606855869293, -0.051082808524370193, -0.003192675532773137, -0.026605628430843353,0.003028458698719025,0.00558418454437604,0.006352528790426049,0.0004256889224052429,0.0005213618073463443,0.0005213621495361084,
2021-01-27,10:36:47:00,51.022662,7.561797,310.0,2.8,6,0.5,265,0.1,0.0,979.2,92.9,-1.0,-0.35913026332855225, 9.543288230895996, 0.4118026793003082, -0.051082808524370193, -0.003192675532773137, -0.02766985446214676,0.004691664391890894,0.005746078491210937,0.007037480162724116,0.0,0.0,0.0005213621495361084,
